,0,1,2,3,4
"Esmeralda County, NV",0.109858,32009,4.6,N/A,16.7
"Eureka County, NV",0.257488,32011,4.6,N/A,13.5
"Mineral County, NV",0.58254,32021,6.5,N/A,14.0
"Storey County, NV",0.530936,32029,6.3,N/A,22.9
"Catron County, NM",0.61635,35003,8.1,N/A,25.8
"Harding County, NM",0.120225,35021,6.9,N/A,24.0
"Hidalgo County, NM",0.75705,35023,5.5,N/A,14.4
"Mora County, NM",0.794325,35033,8.6,N/A,12.7
"San Juan County, NM",22.395275,35045,8.7,N/A,14.6
"Billings County, ND",0.071896,38007,3.0,N/A,23.1
"Golden Valley County, ND",0.141132,38033,2.7,N/A,22.0
"Oliver County, ND",0.144096,38065,5.5,N/A,19.6
"Slope County, ND",0.059204,38087,2.5,N/A,26.8
"Stark County, ND",2.346956,38089,3.9,N/A,23.8
"Stark County, OH",122.864721,39151,5.5,N/A,22.8
"Beaver County, OK",0.629416,40007,3.1,N/A,19.9
"Custer County, OK",3.382212,40039,4.6,N/A,26.5
"Beaver County, PA",30.85282,42007,6.2,N/A,24.0
"Cameron County, PA",0.87135,42023,7.4,N/A,15.9
"Aurora County, SD",0.1376,46003,2.2,N/A,20.2
"Corson County, SD",0.2058,46031,4.5,N/A,17.7
"Custer County, SD",0.42995,46033,4.0,N/A,24.5
"Hamlin County, SD",0.29595,46057,3.3,N/A,21.6
"Hanson County, SD",0.16925,46061,3.4,N/A,21.8
"Harding County, SD",0.06325,46063,2.9,N/A,30.8
"Oglala Lakota County, SD",0.7215,46102,10.7,N/A,12.4
"Sanborn County, SD",0.1189,46111,3.0,N/A,18.5
"Sully County, SD",0.0707,46119,2.3,N/A,24.9
"Ziebach County, SD",0.14365,46137,4.5,N/A,14.9
"Robertson County, TN",12.522304,47147,4.1,N/A,18.1
"Archer County, TX",0.43022,48009,4.3,N/A,23.6
"Borden County, TX",0.032193,48033,3.6,N/A,38.8
"Briscoe County, TX",0.072765,48045,4.4,N/A,21.9
"Cameron County, TX",20.684713,48061,7.2,N/A,17.2
"Cochran County, TX",0.14259,48079,5.0,N/A,10.5
"Coke County, TX",0.159789,48081,4.1,N/A,20.6
"Collingsworth County, TX",0.147637,48087,3.5,N/A,15.6
"Concho County, TX",0.210553,48095,3.4,N/A,11.3
"Cottle County, TX",0.068698,48101,5.1,N/A,16.7
"Culberson County, TX",0.108976,48109,4.1,N/A,9.0
"Glasscock County, TX",0.066787,48173,3.9,N/A,25.3
"Hartley County, TX",0.281113,48205,2.0,N/A,17.0
"Hidalgo County, TX",41.689102,48215,7.8,N/A,17.8
"Hudspeth County, TX",0.208054,48229,6.0,N/A,7.6
"Irion County, TX",0.076538,48235,3.2,N/A,14.8
"Kenedy County, TX",0.021266,48261,4.6,N/A,6.5
"King County, TX",0.014259,48269,3.9,N/A,19.8
"Lipscomb County, TX",0.171451,48295,4.4,N/A,18.8
"Loving County, TX",0.005733,48301,4.7,N/A,4.7
"McMullen County, TX",0.04018,48311,2.1,N/A,20.7
"Motley County, TX",0.057281,48345,3.5,N/A,15.6
"Presidio County, TX",0.353192,48377,10.7,N/A,20.2
"Real County, TX",0.166453,48385,5.7,N/A,21.9
"Robertson County, TX",0.823886,48395,5.1,N/A,15.0
"Schleicher County, TX",0.149793,48413,5.2,N/A,20.3
"Shackelford County, TX",0.163709,48417,3.8,N/A,27.4
"Sterling County, TX",0.065856,48431,3.9,N/A,21.4
"Throckmorton County, TX",0.075313,48447,3.5,N/A,20.0
"Wichita County, TX",6.440707,48485,4.3,N/A,22.4
"Beaver County, UT",1.059112,49001,4.9,N/A,18.5
"Daggett County, UT",0.1763,49009,5.2,N/A,9.3
"Piute County, UT",0.239276,49031,5.9,N/A,22.7
"San Juan County, UT",2.516252,49037,8.1,N/A,17.3
"Charles City County, VA",0.947565,51036,4.6,N/A,12.8
"Greensville County, VA",1.562895,51081,5.1,N/A,7.5
"King and Queen County, VA",0.951615,51097,4.2,N/A,18.9
"Prince George County, VA",5.11272,51149,4.9,N/A,23.0
"Rappahannock County, VA",0.99252,51157,3.6,N/A,33.6
"Rockbridge County, VA",3.02076,51163,4.4,N/A,25.8
"Stafford County, VA",19.38303,51179,4.0,N/A,38.7
"Manassas Park city, VA",2.179305,51685,3.7,N/A,31.4
"King County, WA",203.660588,53033,3.9,N/A,50.3
"San Juan County, WA",1.532576,53055,4.7,N/A,48.3
"Mineral County, WV",11.868164,54057,6.0,N/A,12.7
